LOC,SLOC_P,SLOC_L,MVG,BLOC,C_SLOC,CLOC,CWORD,HCLOC,HCWORD,No_Methods,LCOM,AVCC,NOS,HBUG,HEFF,UWCS,INST,PACK,RFC,CBO,MI,CCML,NLOC,F_IN,DIT,MINC,S_R,R_R,COH,LMC,LCOM2,MAXCC,HVOL,HIER,NQU,FOUT,SIX,EXT,NSUP,TCC,NSUB,MPC,NCO,INTR,CCOM,HLTH,MOD,bug_cnt
60,22,17,1,9,1,29,112,10,56,3,0.0,1.33,14,0.15,2664.91,4,1,2,3,0,93.03,20,19,0,1,125.26,0,0.5,1.0,0,0,2,451.59,2,0,0,0.0,0,1,4,0,0,3,0,8,103,1,False
591,356,304,26,45,37,190,922,10,56,28,0.03,1.86,303,4.67,158266.0,37,9,9,28,0,61.72,217,346,0,1,104.01,0,0.5,0.14,24,262,6,14017.1,6,4,0,0.0,0,1,52,0,0,24,0,76,2604,1,True
371,198,152,21,39,19,134,599,10,56,19,0.03,2.21,139,2.07,88929.2,28,9,8,20,0,68.1,143,189,0,1,110.39,0,0.5,0.14,12,100,6,6215.93,1,3,0,0.0,1,1,42,0,1,16,1,51,1167,1,False
144,61,46,5,20,5,63,148,10,56,9,0.19,1.56,46,0.49,12566.3,15,6,2,9,0,87.84,58,58,0,1,120.06,0,0.5,0.33,0,19,4,1477.84,2,0,0,0.0,0,1,14,0,0,9,0,22,316,1,False
38,11,8,2,6,1,21,77,10,56,2,0.0,1.0,5,0.03,349.92,2,0,2,2,0,109.89,12,8,0,1,142.11,0,0.5,0.0,0,2,1,104.23,1,2,0,0.0,0,1,2,0,0,0,0,4,31,1,False
64,39,38,0,7,21,18,103,10,56,0,0.0,0.0,37,0.7,10607.1,36,36,0,0,0,171.0,29,38,0,1,171.0,0,0.0,0.0,0,0,0,2085.28,0,0,0,0.0,0,0,0,0,0,0,0,27,328,1,False
101,75,74,0,9,72,17,147,10,56,0,0.0,0.0,73,1.58,24615.2,72,72,0,0,0,171.0,79,74,0,1,171.0,0,0.0,0.0,0,0,0,4731.82,0,0,0,0.0,0,0,0,0,0,0,0,77,652,1,True
398,257,226,16,25,27,116,480,10,56,18,0.02,1.94,228,3.73,150650.0,23,5,7,18,0,57.41,133,249,0,1,99.7,0,0.5,0.22,16,0,5,11202.7,7,2,0,0.0,0,1,35,0,0,16,0,50,1989,2,True
36,11,8,2,6,1,19,75,10,56,2,0.0,1.0,5,0.03,349.92,2,0,2,2,0,124.24,10,8,0,1,142.11,0,0.5,0.0,0,2,1,104.23,1,2,0,0.0,0,1,2,0,0,0,0,4,31,1,False
110,49,35,22,8,3,53,319,10,56,7,0.42,2.14,28,0.35,10309.2,9,2,3,9,0,91.2,46,45,0,1,123.42,0,0.0,0.14,1,12,4,1040.17,0,4,0,0.0,2,0,15,0,2,3,0,13,247,1,False
342,211,150,64,25,6,106,556,10,56,16,0.0,3.88,182,2.71,174039.0,16,0,7,16,0,67.83,102,203,0,1,100.06,0,0.0,0.0,7,16,10,8119.14,0,12,0,0.0,0,0,62,0,0,4,1,34,1539,2,True
280,169,131,17,24,15,87,255,10,56,19,0.01,1.89,125,1.53,47140.3,29,10,9,19,0,115.33,92,159,0,1,115.09,0,0.5,0.11,9,207,4,4580.59,0,4,0,0.0,0,1,36,0,0,15,2,35,915,1,False
97,33,24,0,12,0,52,224,10,56,7,0.17,1.14,18,0.16,1998.61,8,1,4,8,0,108.18,42,28,0,1,140.4,0,0.5,0.86,1,0,2,470.92,0,0,0,0.0,1,1,8,0,1,7,2,9,130,1,False
99,37,27,0,12,0,50,173,10,56,8,0.0,1.12,20,0.15,1813.27,9,1,5,8,0,123.32,40,31,0,1,141.2,0,0.5,1.0,0,0,2,447.3,0,0,0,0.0,0,1,9,0,0,8,0,10,128,1,False
107,76,52,13,16,0,15,77,10,56,8,0.86,2.0,58,0.64,29680.2,9,1,2,8,0,111.21,5,73,0,1,111.21,0,0.5,0.25,3,14,4,1930.16,0,0,0,0.0,0,1,16,0,0,8,1,4,393,2,False
171,126,88,16,26,0,19,93,10,56,14,0.02,1.29,83,1.12,24807.6,37,23,2,14,0,119.29,9,123,0,1,119.29,0,0.0,0.07,1,54,3,3349.96,0,3,0,0.0,0,0,18,0,0,11,0,2,694,1,True
39,21,15,3,8,0,10,56,10,56,5,0.0,1.0,13,0.07,739.03,7,2,1,5,0,142.69,0,19,0,1,142.69,0,0.0,0.5,0,10,1,218.37,0,3,0,0.0,0,0,5,0,0,2,0,0,66,1,False
106,68,52,16,12,0,26,137,10,56,6,1.0,3.0,56,0.82,61392.5,7,1,4,6,0,143.46,12,63,0,1,103.57,0,0.0,0.17,3,10,12,2445.89,0,0,0,0.0,0,0,18,0,0,6,0,12,453,1,False
258,217,152,39,25,0,16,103,10,56,14,0.12,2.71,124,1.81,62088.0,19,5,9,14,0,108.36,3,181,0,1,108.36,0,0.5,0.09,8,70,7,5417.88,2,4,0,0.0,0,1,38,0,0,10,0,3,1007,1,False
372,317,181,52,29,0,26,120,10,56,14,0.12,3.21,152,2.05,79811.1,19,5,12,14,0,103.85,11,255,0,1,103.85,0,0.5,0.09,8,58,7,6136.55,1,0,0,0.0,0,1,45,0,0,14,0,6,1164,1,False
22,6,5,0,3,0,13,59,10,56,1,0.0,1.0,2,0.01,51.0,1,0,2,1,0,166.94,3,3,0,1,146.32,0,0.0,0.0,0,1,1,34.0,0,0,0,0.0,0,0,1,0,0,1,0,1,13,1,False
19,6,5,0,3,0,10,56,10,56,1,0.0,1.0,2,0.02,84.16,1,0,2,1,0,144.61,0,3,0,1,144.61,0,0.0,0.0,0,1,1,56.11,0,0,0,0.0,0,0,1,0,0,1,0,0,17,1,False
51,35,29,1,6,0,10,56,10,56,2,0.5,3.5,17,0.17,4596.69,4,2,6,2,0,110.55,0,28,0,1,110.55,0,0.0,0.75,0,0,6,510.81,0,0,0,0.0,0,0,7,0,0,2,0,0,114,1,True
118,93,63,10,15,0,10,56,10,56,15,0.04,1.67,52,0.58,9663.34,19,4,4,15,0,130.96,0,84,0,1,130.96,0,0.0,0.28,4,32,3,1744.84,0,0,0,0.0,0,0,25,0,0,15,1,0,410,1,False
48,20,15,1,7,0,21,95,10,56,4,0.0,1.0,12,0.1,1491.04,6,2,2,4,0,172.84,11,17,0,1,132.95,0,0.0,0.5,0,6,1,287.73,0,0,0,0.0,0,0,4,0,0,4,1,2,77,1,False
487,441,296,84,23,0,23,109,10,56,1,0.0,1.0,2,0.02,84.16,1,0,2,1,1,144.61,0,3,1,1,144.61,0,0.0,0.0,0,1,1,56.11,0,0,0,0.0,0,0,1,0,0,1,0,0,17,1,True
211,185,109,25,12,0,14,82,10,56,8,0.43,3.12,86,1.13,39003.4,10,2,9,8,0,104.39,1,148,0,1,104.39,0,0.5,0.12,4,14,7,3377.17,1,0,0,0.0,0,1,25,0,0,8,0,1,646,1,False
60,34,26,1,8,0,18,90,10,56,4,0.0,1.25,16,0.14,2096.38,5,1,8,4,0,166.96,8,25,0,1,127.08,0,0.0,1.0,0,0,2,428.01,0,1,0,0.0,0,0,5,0,0,3,0,1,106,1,False
27,13,9,0,4,0,10,56,10,56,3,0.0,1.0,7,0.04,346.84,3,0,1,3,0,143.53,0,11,0,1,143.53,0,0.5,0.0,0,3,1,126.81,2,0,0,0.0,0,1,3,0,0,3,0,0,39,1,False
159,126,87,20,18,0,15,87,10,56,17,0.07,1.65,74,0.95,24118.7,27,10,5,17,1,123.61,5,120,1,1,123.61,0,0.5,0.04,4,84,5,2840.03,1,6,0,0.0,0,1,28,0,0,11,0,5,631,1,False
34,15,11,0,4,0,15,64,10,56,3,0.0,1.0,9,0.06,609.59,3,0,1,3,0,185.03,5,13,0,1,135.03,0,0.5,0.0,0,3,1,174.22,2,0,0,0.0,0,1,3,0,0,3,0,2,51,1,False
27,13,9,0,4,0,10,56,10,56,3,0.0,1.0,7,0.04,346.84,3,0,1,3,0,143.53,0,11,0,1,143.53,0,0.5,0.0,0,3,1,126.81,2,0,0,0.0,0,1,3,0,0,3,0,0,39,1,False
170,138,92,21,22,0,10,56,10,56,5,0.12,5.6,70,1.29,76858.7,9,4,15,7,0,94.88,0,122,0,1,94.88,0,0.5,0.35,1,10,14,3880.61,1,1,0,0.0,2,1,28,0,2,4,0,0,656,1,False
82,9,8,0,2,0,71,516,10,56,4,0.0,1.0,5,0.03,141.11,4,0,2,4,0,148.46,61,6,0,1,158.81,0,0.5,0.0,0,4,1,93.21,0,0,0,0.0,0,1,4,0,0,4,0,5,34,1,False
141,15,14,0,4,0,122,961,10,56,8,2.0,1.0,11,0.08,641.04,10,2,2,8,0,135.87,112,12,0,1,156.01,0,0.5,0.0,0,8,1,240.58,0,2,0,0.0,0,1,8,0,0,6,0,10,77,1,False
72,8,7,0,2,0,62,459,10,56,3,0.0,1.0,4,0.02,78.33,3,0,2,3,0,168.97,52,5,0,2,159.84,0,0.67,0.0,0,3,1,50.07,0,1,0,0.0,0,2,3,0,0,2,0,4,21,1,False
38,4,3,0,2,0,32,225,10,56,1,0.0,1.0,2,0.01,30.51,1,0,0,1,0,192.02,22,3,0,1,148.08,0,0.0,0.0,0,1,1,25.51,0,0,0,0.0,0,0,1,0,0,1,0,2,11,1,False
92,8,7,0,2,0,82,655,10,56,4,0.0,1.0,5,0.02,91.82,4,0,1,4,0,178.42,72,6,0,1,160.28,0,0.0,0.0,0,4,1,66.38,0,0,0,0.0,0,0,4,0,0,4,0,5,27,1,False
63,7,6,0,2,0,54,409,10,56,2,1.0,1.0,4,0.03,210.82,3,1,1,2,0,187.78,44,5,0,1,143.84,0,0.0,0.0,0,2,1,80.58,0,1,0,0.0,0,0,2,0,0,1,0,4,26,1,False
248,18,17,0,7,0,223,1696,10,56,12,0.0,1.0,13,0.07,319.7,12,0,3,12,0,168.91,213,14,0,1,159.77,0,0.0,0.0,0,12,1,195.39,0,2,0,0.0,0,0,12,0,0,10,0,13,75,1,False
134,12,11,0,3,0,119,971,10,56,5,4.0,1.0,10,0.06,468.9,9,4,0,5,0,183.54,109,11,0,1,144.24,0,0.0,0.0,0,5,1,175.25,0,4,0,0.0,0,0,5,0,0,1,0,10,55,1,False
41,4,3,0,2,0,35,252,10,56,1,0.0,1.0,2,0.01,41.48,1,0,0,1,0,197.03,25,3,0,1,147.03,0,0.0,0.0,0,1,1,27.65,0,0,0,0.0,0,0,1,0,0,1,0,2,11,1,False
85,11,6,0,2,0,72,561,10,56,4,0.0,1.0,5,0.04,184.76,4,0,0,4,0,147.54,62,10,0,1,157.89,0,0.0,0.0,0,4,1,111.93,0,0,0,0.0,0,0,4,0,0,4,0,5,38,1,False
50,5,4,0,2,0,43,349,10,56,2,0.0,1.0,3,0.01,46.83,2,0,0,2,0,159.74,33,4,0,1,160.22,0,0.0,0.0,0,2,1,31.22,0,0,0,0.0,0,0,2,0,0,2,0,3,14,1,False
47,5,4,0,2,0,40,294,10,56,1,0.0,1.0,2,0.01,39.0,1,0,1,1,0,184.28,30,3,0,1,147.24,0,0.0,0.0,0,1,1,34.0,0,0,0,0.0,0,0,1,0,0,1,0,2,13,1,False
136,38,27,5,7,0,91,692,10,56,5,4.0,1.0,10,0.06,468.9,9,4,0,5,1,183.54,109,11,1,1,144.24,0,0.0,0.0,0,5,1,175.25,0,4,0,0.0,0,0,5,0,0,1,0,10,55,1,False
133,13,12,0,2,0,118,976,10,56,6,3.0,1.0,10,0.08,791.44,9,3,1,6,0,172.44,108,11,0,1,154.3,0,0.0,0.0,0,6,1,230.89,0,2,0,0.0,0,0,6,0,0,4,0,10,69,1,False
54,4,3,0,3,0,47,355,10,56,1,0.0,1.0,2,0.01,48.43,1,0,0,1,0,140.73,37,3,0,1,146.5,0,0.0,0.0,0,1,1,27.12,0,0,0,0.0,0,0,1,0,0,1,0,2,11,1,False
155,16,15,0,5,0,134,1083,10,56,0,0.0,0.0,13,0.14,1907.34,12,12,0,0,0,171.0,124,15,0,1,171.0,0,0.0,0.0,0,0,0,418.68,0,0,0,0.0,0,0,0,0,0,0,0,13,83,1,False
64,7,6,0,4,0,53,396,10,56,2,1.0,1.0,4,0.03,266.03,3,1,1,2,0,182.35,43,5,0,1,143.05,0,0.0,0.0,0,2,1,87.51,0,1,0,0.0,0,0,2,0,0,1,0,4,27,1,False
62,7,6,0,2,0,53,396,10,56,2,1.0,1.0,4,0.03,266.03,3,1,1,2,0,182.35,43,5,0,1,143.05,0,0.0,0.0,0,2,1,87.51,0,1,0,0.0,0,0,2,0,0,1,0,4,27,1,False
314,28,27,0,5,0,281,2135,10,56,18,4.0,1.0,23,0.19,1508.05,22,4,3,18,0,145.5,271,24,0,2,155.86,0,0.67,0.0,0,18,1,559.1,0,2,0,0.0,0,2,18,0,0,16,0,23,172,1,False
154,14,13,0,3,0,137,1084,10,56,7,3.0,1.0,11,0.08,817.26,10,3,1,7,1,172.85,127,12,1,1,154.72,0,0.0,0.0,0,7,1,245.31,0,2,0,0.0,0,0,7,0,0,5,0,11,75,1,False
63,8,7,0,3,0,52,406,10,56,2,1.0,1.0,4,0.03,287.67,3,1,2,2,0,182.08,42,5,0,1,142.78,0,0.5,0.0,0,2,1,92.92,0,1,0,0.0,0,1,2,0,0,1,0,4,28,1,False
80,9,8,0,2,0,69,519,10,56,3,1.0,1.0,5,0.03,295.67,4,1,2,3,0,181.58,59,6,0,1,155.3,0,0.5,0.0,0,3,1,100.92,0,2,0,0.0,0,1,3,0,0,1,0,5,32,1,False
102,10,9,0,2,0,90,698,10,56,4,2.0,1.0,7,0.06,598.95,6,2,1,4,0,187.25,80,8,0,1,153.87,0,0.0,0.0,0,4,1,180.28,0,0,0,0.0,0,0,4,0,0,4,0,7,53,1,False
212,19,18,0,6,0,187,1478,10,56,9,6.0,1.0,16,0.14,1701.9,15,6,1,9,0,179.35,177,17,0,1,153.07,0,0.0,0.0,0,9,1,427.3,0,3,0,0.0,0,0,9,0,0,6,0,16,117,1,False
54,4,3,0,3,0,47,355,10,56,1,0.0,1.0,2,0.01,48.43,1,0,0,1,0,140.73,37,3,0,1,146.5,0,0.0,0.0,0,1,1,27.12,0,0,0,0.0,0,0,1,0,0,1,0,2,11,1,False
154,14,13,0,2,0,138,1071,10,56,9,0.0,1.0,10,0.04,164.73,9,0,2,9,0,140.92,128,11,0,1,161.06,0,0.0,0.0,0,9,1,120.84,0,2,0,0.0,0,0,9,0,0,7,0,10,51,1,False
99,9,8,0,2,0,88,639,10,56,6,0.0,1.0,7,0.02,78.02,6,0,0,6,0,132.85,78,8,0,1,162.23,0,0.0,0.0,0,6,1,73.02,0,0,0,0.0,0,0,6,0,0,6,0,7,33,1,False
154,15,14,0,5,0,134,1051,10,56,9,1.0,1.0,11,0.05,279.97,10,1,2,9,1,129.86,124,12,1,1,159.24,0,0.5,0.0,0,9,1,151.34,0,4,0,0.0,0,1,9,0,0,5,0,11,58,1,False
132,12,11,0,3,0,117,876,10,56,7,1.0,1.0,9,0.07,463.27,8,1,1,7,0,146.31,107,10,0,1,156.66,0,0.0,0.0,0,7,1,211.05,0,0,0,0.0,0,0,7,0,0,7,0,9,68,1,False
103,11,10,0,2,0,90,700,10,56,4,2.0,1.0,7,0.06,598.95,6,2,2,4,0,187.25,80,8,0,1,153.87,0,0.5,0.0,0,4,1,180.28,0,1,0,0.0,0,1,4,0,0,3,0,7,53,1,False
137,109,69,20,17,0,11,58,10,56,18,0.07,1.44,59,0.5,8943.65,24,6,12,19,0,131.89,1,96,0,1,131.89,0,0.5,0.1,1,134,4,1495.08,0,2,0,0.0,1,1,26,0,1,16,3,1,376,2,False
222,140,70,30,23,2,59,191,10,56,10,0.33,1.4,36,0.33,6765.66,12,2,4,10,0,170.72,27,58,0,1,130.84,0,0.5,0.2,0,26,5,986.21,1,1,0,0.0,0,1,14,0,0,9,0,10,242,1,False
64,49,38,5,5,0,10,56,10,56,8,0.14,1.38,38,0.37,7164.58,9,1,5,9,0,125.22,0,43,0,1,125.22,0,0.5,0.88,0,0,3,1121.37,2,0,0,0.0,1,1,11,0,1,8,1,0,261,1,False
174,149,92,24,9,4,16,95,10,56,13,0.0,2.0,101,1.2,51468.8,16,3,5,14,0,110.99,10,143,0,1,110.99,0,0.5,0.33,2,27,5,3589.94,2,5,0,0.0,1,1,26,0,1,8,1,10,720,1,False
89,72,58,11,7,0,10,56,10,56,9,0.08,1.78,45,0.43,9735.08,12,3,11,9,2,120.9,0,60,2,1,120.9,2,0.25,0.26,2,30,4,1291.64,3,4,0,0.0,0,1,16,2,0,5,1,0,281,2,False
27,13,10,1,4,0,10,56,10,56,2,0.0,1.0,8,0.06,865.01,3,1,1,2,0,127.78,0,11,0,1,127.78,0,0.0,1.0,0,2,1,172.4,0,0,0,0.0,0,0,2,0,0,2,1,0,47,1,False
41,27,19,2,4,0,10,56,10,56,5,0.5,1.2,13,0.11,1457.22,6,1,5,5,0,140.32,0,21,0,1,140.32,0,0.0,0.6,1,2,2,316.55,0,1,0,0.0,0,0,6,0,0,4,0,0,84,1,False
64,46,36,4,8,0,10,56,10,56,8,0.36,1.12,30,0.23,3434.01,10,2,4,8,0,132.44,0,41,0,1,132.44,0,0.5,0.19,5,16,2,681.76,0,2,0,0.0,0,1,9,0,0,6,0,0,172,1,False
130,111,81,11,8,0,11,57,10,56,15,0.05,1.73,69,0.59,15021.7,18,3,5,15,0,124.79,1,105,0,1,124.79,0,0.5,0.29,6,72,7,1760.32,2,1,0,0.0,0,1,26,0,0,14,1,1,403,1,False
34,18,13,3,2,0,14,63,10,56,4,0.17,1.0,12,0.06,775.33,6,2,0,4,0,185.19,4,17,0,1,135.19,0,0.0,0.62,0,6,1,185.57,0,3,0,0.0,0,0,4,0,0,1,0,1,58,1,False
581,503,233,94,52,0,26,123,10,56,21,0.0,4.48,264,4.39,202106.0,21,0,8,21,0,99.03,16,494,0,1,99.03,0,0.0,0.0,16,21,11,13169.6,0,1,0,0.0,0,0,94,0,0,20,0,12,2344,1,True
23,11,9,1,2,0,10,56,10,56,1,1.0,1.0,7,0.08,1766.81,2,1,1,2,0,113.91,0,9,0,1,113.91,0,0.5,0.0,0,1,1,246.23,0,0,0,0.0,1,1,1,0,1,1,0,0,59,1,False
60,40,29,9,9,0,11,66,10,56,4,0.0,2.75,28,0.34,29399.1,4,0,0,4,0,108.8,1,39,0,1,108.8,0,0.0,0.0,1,4,6,1008.69,0,2,0,0.0,0,0,11,0,0,2,0,1,221,2,False
59,43,25,3,6,0,10,56,10,56,3,0.0,2.0,22,0.34,10265.1,3,0,2,3,0,111.49,0,40,0,1,111.49,0,0.0,0.0,1,3,3,1031.41,0,0,0,0.0,0,0,6,0,0,3,0,0,210,1,False
107,78,49,11,16,0,13,61,10,56,3,0.0,2.67,23,0.27,13995.0,3,0,10,3,0,160.36,3,31,0,1,110.36,0,0.5,0.0,1,3,5,822.79,0,1,0,0.0,0,1,8,0,0,2,0,1,166,1,False
31,12,9,1,4,0,15,68,10,56,2,0.0,1.0,7,0.05,539.22,3,1,1,2,0,173.95,5,10,0,1,134.06,0,0.5,1.0,0,2,1,148.54,0,0,0,0.0,0,1,2,0,0,2,0,1,41,1,False
276,227,151,53,35,0,14,71,10,56,21,0.03,2.76,178,2.33,99992.8,24,3,14,22,0,108.12,4,212,0,1,108.12,0,0.0,0.3,8,89,9,6986.97,0,11,0,0.0,1,0,58,0,1,10,0,3,1401,1,True
118,99,71,14,9,0,10,56,10,56,11,0.17,1.91,58,0.62,16443.6,14,3,9,11,0,119.78,0,89,0,1,119.78,0,0.5,0.18,3,44,6,1871.75,3,1,0,0.0,0,1,21,0,0,10,1,0,392,2,False
54,21,14,3,8,0,25,90,10,56,6,0.8,1.0,12,0.06,535.23,7,1,1,6,0,184.3,15,19,0,1,144.41,0,0.5,0.33,0,10,1,184.77,0,1,0,0.0,0,1,6,0,0,5,0,4,60,1,False
700,620,469,94,52,0,28,116,10,56,53,0.05,2.75,533,6.71,289550.0,73,20,9,54,0,104.03,18,610,0,1,104.03,0,0.5,0.09,21,1368,19,20116.8,9,9,0,0.0,1,1,146,0,1,44,1,9,3704,1,False
283,232,176,31,26,0,25,91,10,56,24,0.08,2.33,173,1.98,69884.4,33,9,6,24,0,112.0,15,225,0,1,112.0,0,0.5,0.19,15,212,11,5933.3,9,5,0,0.0,0,1,56,0,0,19,1,4,1190,1,False
240,157,121,16,24,0,59,203,10,56,21,0.02,1.67,115,1.19,29629.9,27,6,5,21,0,159.89,49,151,0,1,120.01,0,0.5,0.19,12,121,9,3584.96,8,6,0,0.0,0,1,35,0,0,15,1,13,795,1,False
77,56,46,8,11,0,10,56,10,56,9,0.0,1.0,44,0.35,7460.53,10,1,1,9,0,125.56,0,54,0,1,125.56,0,0.0,1.0,0,0,1,1045.33,0,0,0,0.0,0,0,9,0,0,9,1,0,268,1,False
248,209,155,31,29,0,10,56,10,56,25,0.08,2.2,146,1.73,59591.5,34,9,8,25,0,118.15,0,200,0,1,118.15,0,0.5,0.19,9,239,12,5194.35,9,5,0,0.0,0,1,55,0,0,20,1,0,1052,1,False
133,92,67,18,15,0,26,79,10,56,12,0.08,2.0,59,0.69,17363.4,18,6,7,12,0,173.49,16,84,0,1,123.49,0,0.5,0.24,2,44,5,2083.86,5,4,0,0.0,0,1,24,0,0,8,1,5,462,1,False
120,77,58,8,10,0,33,90,10,56,9,0.12,1.89,50,0.49,9524.07,12,3,6,9,0,160.85,23,70,0,1,120.96,0,0.5,0.44,3,16,4,1482.8,5,3,0,0.0,0,1,17,0,0,6,1,8,336,1,False
232,182,120,40,22,10,28,110,10,56,28,0.07,1.75,113,1.11,27031.0,33,5,8,28,0,174.91,28,173,0,1,124.91,0,0.5,0.13,7,322,9,3343.73,0,5,0,0.0,0,1,49,0,0,23,2,11,768,2,False
132,104,77,18,17,0,11,59,10,56,14,0.03,1.86,72,0.73,18284.6,17,3,7,14,0,120.25,1,96,0,1,120.25,0,0.5,0.36,5,46,5,2200.3,8,3,0,0.0,0,1,26,0,0,11,1,1,488,1,False
103,88,69,9,5,0,10,56,10,56,8,0.14,2.12,70,0.81,25504.7,10,2,7,9,0,109.55,0,80,0,1,109.55,0,0.5,0.62,0,0,8,2442.36,3,0,0,0.0,1,1,17,0,1,8,1,0,498,1,False
113,94,67,17,9,0,10,56,10,56,11,0.1,2.18,59,0.63,16526.9,14,3,6,11,0,119.73,0,87,0,1,119.73,0,0.5,0.42,2,29,8,1884.74,7,2,0,0.0,0,1,24,0,0,9,1,0,412,1,False
50,31,24,2,9,0,10,56,10,56,5,0.25,1.4,19,0.18,3352.41,6,1,4,5,0,130.87,0,26,0,1,130.87,0,0.5,0.8,1,2,3,544.16,5,1,0,0.0,0,1,7,0,0,4,1,0,133,1,False
53,34,24,2,9,0,10,56,10,56,5,0.25,1.4,19,0.18,3352.41,6,1,4,5,0,130.87,0,29,0,1,130.87,0,0.5,0.8,1,2,3,544.16,5,1,0,0.0,0,1,7,0,0,4,1,0,133,1,False
156,134,101,16,9,0,13,62,10,56,18,0.06,1.83,85,0.8,21079.0,21,3,6,18,0,124.24,3,127,0,1,124.24,0,0.5,0.28,6,82,7,2410.39,2,2,0,0.0,0,1,33,0,0,16,1,3,537,1,True
86,60,42,14,13,0,13,62,10,56,2,0.0,1.0,7,0.05,539.22,3,1,1,2,1,173.95,5,10,0,2,134.06,0,0.67,1.0,0,2,1,148.54,0,0,1,0.0,0,2,2,0,0,2,0,1,41,1,False
25,13,12,0,2,0,10,56,10,56,0,0.0,0.0,11,0.1,1088.76,10,10,0,0,0,171.0,0,12,0,1,171.0,0,0.0,0.0,0,0,0,309.07,0,0,0,0.0,0,0,0,0,0,0,0,0,65,1,False
96,63,62,0,15,58,18,148,10,56,0,0.0,0.0,61,1.23,22867.4,60,60,0,0,0,171.0,66,62,0,1,171.0,0,0.0,0.0,0,0,0,3681.89,0,0,0,0.0,0,0,0,0,0,0,0,59,544,1,False
22,7,6,0,1,0,14,63,10,56,0,0.0,0.0,5,0.04,368.22,4,4,0,0,0,171.0,4,6,0,1,171.0,0,0.0,0.0,0,0,0,113.3,0,0,0,0.0,0,0,0,0,0,0,0,1,29,1,False
36,13,12,0,5,0,18,90,10,56,6,3.0,1.0,10,0.07,610.59,9,3,1,6,0,205.19,8,11,0,1,155.19,0,0.0,0.0,0,6,1,205.39,0,3,0,0.0,0,0,6,0,0,3,0,1,64,1,False
239,64,59,0,26,0,149,678,10,56,37,17.0,1.0,55,0.57,7652.1,54,17,2,37,0,173.38,139,61,0,1,152.77,0,0.0,0.0,0,37,1,1719.93,0,7,0,0.0,0,0,37,0,0,30,0,26,436,1,False
42,24,23,0,5,0,13,70,10,56,10,8.0,1.0,19,0.15,1285.8,18,8,3,10,0,154.39,3,20,0,2,154.39,0,0.67,0.0,0,10,1,441.76,0,2,0,0.0,0,2,10,0,0,8,0,1,118,1,False
